Datum von;Datum bis;Generation_DE KW 3 GT31 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 5A [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 54 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 56 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 59 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 51 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 53 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 58 [MW] Berechnete Auflösungen;Generation_DE KW2 DT27 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 55 [MW] Berechnete Auflösungen;Generation_DE KW2 GT26 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 52 [MW] Berechnete Auflösungen;Generation_DE KW3 DT32 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 57 [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;102,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 00:15;26.08.2025 00:30;102,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 00:30;26.08.2025 00:45;102,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 00:45;26.08.2025 01:00;102,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 01:00;26.08.2025 01:15;106,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 01:15;26.08.2025 01:30;106,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 01:30;26.08.2025 01:45;106,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 01:45;26.08.2025 02:00;106,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 02:00;26.08.2025 02:15;106,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 02:15;26.08.2025 02:30;106,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 02:30;26.08.2025 02:45;106,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 02:45;26.08.2025 03:00;106,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 03:00;26.08.2025 03:15;103,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 03:15;26.08.2025 03:30;103,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 03:30;26.08.2025 03:45;103,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 03:45;26.08.2025 04:00;103,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 04:00;26.08.2025 04:15;105,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 04:15;26.08.2025 04:30;105,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 04:30;26.08.2025 04:45;105,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 04:45;26.08.2025 05:00;105,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 05:00;26.08.2025 05:15;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 05:15;26.08.2025 05:30;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 05:30;26.08.2025 05:45;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 05:45;26.08.2025 06:00;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 06:00;26.08.2025 06:15;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 06:15;26.08.2025 06:30;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 06:30;26.08.2025 06:45;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 06:45;26.08.2025 07:00;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 07:00;26.08.2025 07:15;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 07:15;26.08.2025 07:30;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 07:30;26.08.2025 07:45;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 07:45;26.08.2025 08:00;107,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 08:00;26.08.2025 08:15;95,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 08:15;26.08.2025 08:30;95,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 08:30;26.08.2025 08:45;95,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 08:45;26.08.2025 09:00;95,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 09:00;26.08.2025 09:15;72,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 09:15;26.08.2025 09:30;72,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 09:30;26.08.2025 09:45;72,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 09:45;26.08.2025 10:00;72,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 10:00;26.08.2025 10:15;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 10:15;26.08.2025 10:30;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 10:30;26.08.2025 10:45;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 10:45;26.08.2025 11:00;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 11:00;26.08.2025 11:15;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 11:15;26.08.2025 11:30;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 11:30;26.08.2025 11:45;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 11:45;26.08.2025 12:00;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 12:00;26.08.2025 12:15;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 12:15;26.08.2025 12:30;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 12:30;26.08.2025 12:45;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 12:45;26.08.2025 13:00;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 13:00;26.08.2025 13:15;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 13:15;26.08.2025 13:30;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 13:30;26.08.2025 13:45;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 13:45;26.08.2025 14:00;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 14:00;26.08.2025 14:15;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 14:15;26.08.2025 14:30;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 14:30;26.08.2025 14:45;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 14:45;26.08.2025 15:00;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 15:00;26.08.2025 15:15;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 15:15;26.08.2025 15:30;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 15:30;26.08.2025 15:45;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 15:45;26.08.2025 16:00;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 16:00;26.08.2025 16:15;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 16:15;26.08.2025 16:30;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 16:30;26.08.2025 16:45;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 16:45;26.08.2025 17:00;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 17:00;26.08.2025 17:15;62,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 17:15;26.08.2025 17:30;62,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 17:30;26.08.2025 17:45;62,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 17:45;26.08.2025 18:00;62,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 18:00;26.08.2025 18:15;94,750;1,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 18:15;26.08.2025 18:30;94,750;1,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 18:30;26.08.2025 18:45;94,750;1,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 18:45;26.08.2025 19:00;94,750;1,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 19:00;26.08.2025 19:15;95,500;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 19:15;26.08.2025 19:30;95,500;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 19:30;26.08.2025 19:45;95,500;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 19:45;26.08.2025 20:00;95,500;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 20:00;26.08.2025 20:15;96,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 20:15;26.08.2025 20:30;96,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 20:30;26.08.2025 20:45;96,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 20:45;26.08.2025 21:00;96,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 21:00;26.08.2025 21:15;98,500;0,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 21:15;26.08.2025 21:30;98,500;0,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 21:30;26.08.2025 21:45;98,500;0,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 21:45;26.08.2025 22:00;98,500;0,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 22:00;26.08.2025 22:15;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 22:15;26.08.2025 22:30;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 22:30;26.08.2025 22:45;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 22:45;26.08.2025 23:00;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 23:00;26.08.2025 23:15;92,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 23:15;26.08.2025 23:30;92,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 23:30;26.08.2025 23:45;92,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 23:45;27.08.2025 00:00;92,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 00:00;27.08.2025 00:15;95,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 00:15;27.08.2025 00:30;95,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 00:30;27.08.2025 00:45;95,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 00:45;27.08.2025 01:00;95,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 01:00;27.08.2025 01:15;98,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 01:15;27.08.2025 01:30;98,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 01:30;27.08.2025 01:45;98,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 01:45;27.08.2025 02:00;98,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 02:00;27.08.2025 02:15;88,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 02:15;27.08.2025 02:30;88,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 02:30;27.08.2025 02:45;88,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 02:45;27.08.2025 03:00;88,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 03:00;27.08.2025 03:15;84,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 03:15;27.08.2025 03:30;84,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 03:30;27.08.2025 03:45;84,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 03:45;27.08.2025 04:00;84,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 04:00;27.08.2025 04:15;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 04:15;27.08.2025 04:30;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 04:30;27.08.2025 04:45;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 04:45;27.08.2025 05:00;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 05:00;27.08.2025 05:15;100,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 05:15;27.08.2025 05:30;100,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 05:30;27.08.2025 05:45;100,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 05:45;27.08.2025 06:00;100,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 06:00;27.08.2025 06:15;103,750;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 06:15;27.08.2025 06:30;103,750;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 06:30;27.08.2025 06:45;103,750;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 06:45;27.08.2025 07:00;103,750;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 07:00;27.08.2025 07:15;104,000;5,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 07:15;27.08.2025 07:30;104,000;5,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 07:30;27.08.2025 07:45;104,000;5,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 07:45;27.08.2025 08:00;104,000;5,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 08:00;27.08.2025 08:15;103,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 08:15;27.08.2025 08:30;103,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 08:30;27.08.2025 08:45;103,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 08:45;27.08.2025 09:00;103,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 09:00;27.08.2025 09:15;94,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 09:15;27.08.2025 09:30;94,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 09:30;27.08.2025 09:45;94,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 09:45;27.08.2025 10:00;94,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 10:00;27.08.2025 10:15;82,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 10:15;27.08.2025 10:30;82,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 10:30;27.08.2025 10:45;82,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 10:45;27.08.2025 11:00;82,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 11:00;27.08.2025 11:15;72,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 11:15;27.08.2025 11:30;72,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 11:30;27.08.2025 11:45;72,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 11:45;27.08.2025 12:00;72,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 12:00;27.08.2025 12:15;64,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 12:15;27.08.2025 12:30;64,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 12:30;27.08.2025 12:45;64,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 12:45;27.08.2025 13:00;64,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 13:00;27.08.2025 13:15;58,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 13:15;27.08.2025 13:30;58,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 13:30;27.08.2025 13:45;58,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 13:45;27.08.2025 14:00;58,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 14:00;27.08.2025 14:15;68,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 14:15;27.08.2025 14:30;68,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 14:30;27.08.2025 14:45;68,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 14:45;27.08.2025 15:00;68,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 15:00;27.08.2025 15:15;71,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 15:15;27.08.2025 15:30;71,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 15:30;27.08.2025 15:45;71,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 15:45;27.08.2025 16:00;71,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 16:00;27.08.2025 16:15;82,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 16:15;27.08.2025 16:30;82,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 16:30;27.08.2025 16:45;82,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 16:45;27.08.2025 17:00;82,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 17:00;27.08.2025 17:15;90,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 17:15;27.08.2025 17:30;90,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 17:30;27.08.2025 17:45;90,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 17:45;27.08.2025 18:00;90,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 18:00;27.08.2025 18:15;92,250;1,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 18:15;27.08.2025 18:30;92,250;1,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 18:30;27.08.2025 18:45;92,250;1,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 18:45;27.08.2025 19:00;92,250;1,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 19:00;27.08.2025 19:15;98,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 19:15;27.08.2025 19:30;98,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 19:30;27.08.2025 19:45;98,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 19:45;27.08.2025 20:00;98,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 20:00;27.08.2025 20:15;99,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 20:15;27.08.2025 20:30;99,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 20:30;27.08.2025 20:45;99,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 20:45;27.08.2025 21:00;99,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 21:00;27.08.2025 21:15;95,500;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 21:15;27.08.2025 21:30;95,500;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 21:30;27.08.2025 21:45;95,500;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 21:45;27.08.2025 22:00;95,500;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 22:00;27.08.2025 22:15;92,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 22:15;27.08.2025 22:30;92,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 22:30;27.08.2025 22:45;92,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 22:45;27.08.2025 23:00;92,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 23:00;27.08.2025 23:15;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 23:15;27.08.2025 23:30;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 23:30;27.08.2025 23:45;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 23:45;28.08.2025 00:00;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 00:00;28.08.2025 00:15;93,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 00:15;28.08.2025 00:30;93,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
