Datum von;Datum bis;Generation_DE Block B [MW] Berechnete Auflösungen;Generation_DE Block A [MW] Berechnete Auflösungen;Generation_DE Block C [MW] Berechnete Auflösungen;Generation_DE Block D [MW] Berechnete Auflösungen;Generation_DE Block E [MW] Berechnete Auflösungen;Generation_DE Bock F [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 00:15;26.08.2025 00:30;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 00:30;26.08.2025 00:45;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 00:45;26.08.2025 01:00;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 01:00;26.08.2025 01:15;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 01:15;26.08.2025 01:30;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 01:30;26.08.2025 01:45;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 01:45;26.08.2025 02:00;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 02:00;26.08.2025 02:15;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 02:15;26.08.2025 02:30;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 02:30;26.08.2025 02:45;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 02:45;26.08.2025 03:00;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 03:00;26.08.2025 03:15;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 03:15;26.08.2025 03:30;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 03:30;26.08.2025 03:45;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 03:45;26.08.2025 04:00;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 04:00;26.08.2025 04:15;27,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 04:15;26.08.2025 04:30;27,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 04:30;26.08.2025 04:45;27,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 04:45;26.08.2025 05:00;27,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 05:00;26.08.2025 05:15;28,250;0,000;0,000;0,000;0,000;0,000
26.08.2025 05:15;26.08.2025 05:30;28,250;0,000;0,000;0,000;0,000;0,000
26.08.2025 05:30;26.08.2025 05:45;28,250;0,000;0,000;0,000;0,000;0,000
26.08.2025 05:45;26.08.2025 06:00;28,250;0,000;0,000;0,000;0,000;0,000
26.08.2025 06:00;26.08.2025 06:15;29,750;0,000;0,000;25,250;0,000;15,750
26.08.2025 06:15;26.08.2025 06:30;29,750;0,000;0,000;25,250;0,000;15,750
26.08.2025 06:30;26.08.2025 06:45;29,750;0,000;0,000;25,250;0,000;15,750
26.08.2025 06:45;26.08.2025 07:00;29,750;0,000;0,000;25,250;0,000;15,750
26.08.2025 07:00;26.08.2025 07:15;27,250;0,000;0,000;31,750;0,000;25,250
26.08.2025 07:15;26.08.2025 07:30;27,250;0,000;0,000;31,750;0,000;25,250
26.08.2025 07:30;26.08.2025 07:45;27,250;0,000;0,000;31,750;0,000;25,250
26.08.2025 07:45;26.08.2025 08:00;27,250;0,000;0,000;31,750;0,000;25,250
26.08.2025 08:00;26.08.2025 08:15;20,250;0,000;0,000;8,750;0,000;0,000
26.08.2025 08:15;26.08.2025 08:30;20,250;0,000;0,000;8,750;0,000;0,000
26.08.2025 08:30;26.08.2025 08:45;20,250;0,000;0,000;8,750;0,000;0,000
26.08.2025 08:45;26.08.2025 09:00;20,250;0,000;0,000;8,750;0,000;0,000
26.08.2025 09:00;26.08.2025 09:15;26,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 09:15;26.08.2025 09:30;26,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 09:30;26.08.2025 09:45;26,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 09:45;26.08.2025 10:00;26,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 10:00;26.08.2025 10:15;19,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 10:15;26.08.2025 10:30;19,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 10:30;26.08.2025 10:45;19,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 10:45;26.08.2025 11:00;19,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 11:00;26.08.2025 11:15;20,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 11:15;26.08.2025 11:30;20,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 11:30;26.08.2025 11:45;20,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 11:45;26.08.2025 12:00;20,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 12:00;26.08.2025 12:15;12,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 12:15;26.08.2025 12:30;12,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 12:30;26.08.2025 12:45;12,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 12:45;26.08.2025 13:00;12,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 13:00;26.08.2025 13:15;14,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 13:15;26.08.2025 13:30;14,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 13:30;26.08.2025 13:45;14,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 13:45;26.08.2025 14:00;14,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 14:00;26.08.2025 14:15;16,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 14:15;26.08.2025 14:30;16,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 14:30;26.08.2025 14:45;16,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 14:45;26.08.2025 15:00;16,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 15:00;26.08.2025 15:15;20,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 15:15;26.08.2025 15:30;20,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 15:30;26.08.2025 15:45;20,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 15:45;26.08.2025 16:00;20,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 16:00;26.08.2025 16:15;20,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 16:15;26.08.2025 16:30;20,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 16:30;26.08.2025 16:45;20,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 16:45;26.08.2025 17:00;20,750;0,000;0,000;0,000;0,000;0,000
26.08.2025 17:00;26.08.2025 17:15;29,500;0,000;0,000;7,250;0,000;0,000
26.08.2025 17:15;26.08.2025 17:30;29,500;0,000;0,000;7,250;0,000;0,000
26.08.2025 17:30;26.08.2025 17:45;29,500;0,000;0,000;7,250;0,000;0,000
26.08.2025 17:45;26.08.2025 18:00;29,500;0,000;0,000;7,250;0,000;0,000
26.08.2025 18:00;26.08.2025 18:15;36,500;0,000;0,000;21,000;21,250;21,000
26.08.2025 18:15;26.08.2025 18:30;36,500;0,000;0,000;21,000;21,250;21,000
26.08.2025 18:30;26.08.2025 18:45;36,500;0,000;0,000;21,000;21,250;21,000
26.08.2025 18:45;26.08.2025 19:00;36,500;0,000;0,000;21,000;21,250;21,000
26.08.2025 19:00;26.08.2025 19:15;39,250;0,000;0,000;41,250;41,250;41,250
26.08.2025 19:15;26.08.2025 19:30;39,250;0,000;0,000;41,250;41,250;41,250
26.08.2025 19:30;26.08.2025 19:45;39,250;0,000;0,000;41,250;41,250;41,250
26.08.2025 19:45;26.08.2025 20:00;39,250;0,000;0,000;41,250;41,250;41,250
26.08.2025 20:00;26.08.2025 20:15;30,250;0,000;0,000;40,000;40,250;40,000
26.08.2025 20:15;26.08.2025 20:30;30,250;0,000;0,000;40,000;40,250;40,000
26.08.2025 20:30;26.08.2025 20:45;30,250;0,000;0,000;40,000;40,250;40,000
26.08.2025 20:45;26.08.2025 21:00;30,250;0,000;0,000;40,000;40,250;40,000
26.08.2025 21:00;26.08.2025 21:15;24,500;0,000;0,000;34,250;28,000;35,500
26.08.2025 21:15;26.08.2025 21:30;24,500;0,000;0,000;34,250;28,000;35,500
26.08.2025 21:30;26.08.2025 21:45;24,500;0,000;0,000;34,250;28,000;35,500
26.08.2025 21:45;26.08.2025 22:00;24,500;0,000;0,000;34,250;28,000;35,500
26.08.2025 22:00;26.08.2025 22:15;26,250;0,000;0,000;19,250;0,000;16,000
26.08.2025 22:15;26.08.2025 22:30;26,250;0,000;0,000;19,250;0,000;16,000
26.08.2025 22:30;26.08.2025 22:45;26,250;0,000;0,000;19,250;0,000;16,000
26.08.2025 22:45;26.08.2025 23:00;26,250;0,000;0,000;19,250;0,000;16,000
26.08.2025 23:00;26.08.2025 23:15;27,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 23:15;26.08.2025 23:30;27,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 23:30;26.08.2025 23:45;27,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 23:45;27.08.2025 00:00;27,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 00:00;27.08.2025 00:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 00:15;27.08.2025 00:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 00:30;27.08.2025 00:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 00:45;27.08.2025 01:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 01:00;27.08.2025 01:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 01:15;27.08.2025 01:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 01:30;27.08.2025 01:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 01:45;27.08.2025 02:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 02:00;27.08.2025 02:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 02:15;27.08.2025 02:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 02:30;27.08.2025 02:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 02:45;27.08.2025 03:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 03:00;27.08.2025 03:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 03:15;27.08.2025 03:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 03:30;27.08.2025 03:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 03:45;27.08.2025 04:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 04:00;27.08.2025 04:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 04:15;27.08.2025 04:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 04:30;27.08.2025 04:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 04:45;27.08.2025 05:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 05:00;27.08.2025 05:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 05:15;27.08.2025 05:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 05:30;27.08.2025 05:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 05:45;27.08.2025 06:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 06:00;27.08.2025 06:15;19,750;0,000;0,000;6,250;0,000;0,000
27.08.2025 06:15;27.08.2025 06:30;19,750;0,000;0,000;6,250;0,000;0,000
27.08.2025 06:30;27.08.2025 06:45;19,750;0,000;0,000;6,250;0,000;0,000
27.08.2025 06:45;27.08.2025 07:00;19,750;0,000;0,000;6,250;0,000;0,000
27.08.2025 07:00;27.08.2025 07:15;38,750;0,000;0,000;33,250;28,500;31,750
27.08.2025 07:15;27.08.2025 07:30;38,750;0,000;0,000;33,250;28,500;31,750
27.08.2025 07:30;27.08.2025 07:45;38,750;0,000;0,000;33,250;28,500;31,750
27.08.2025 07:45;27.08.2025 08:00;38,750;0,000;0,000;33,250;28,500;31,750
27.08.2025 08:00;27.08.2025 08:15;28,500;0,000;0,000;29,000;27,750;29,000
27.08.2025 08:15;27.08.2025 08:30;28,500;0,000;0,000;29,000;27,750;29,000
27.08.2025 08:30;27.08.2025 08:45;28,500;0,000;0,000;29,000;27,750;29,000
27.08.2025 08:45;27.08.2025 09:00;28,500;0,000;0,000;29,000;27,750;29,000
27.08.2025 09:00;27.08.2025 09:15;21,000;0,000;0,000;9,750;0,000;9,750
27.08.2025 09:15;27.08.2025 09:30;21,000;0,000;0,000;9,750;0,000;9,750
27.08.2025 09:30;27.08.2025 09:45;21,000;0,000;0,000;9,750;0,000;9,750
27.08.2025 09:45;27.08.2025 10:00;21,000;0,000;0,000;9,750;0,000;9,750
27.08.2025 10:00;27.08.2025 10:15;18,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 10:15;27.08.2025 10:30;18,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 10:30;27.08.2025 10:45;18,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 10:45;27.08.2025 11:00;18,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 11:00;27.08.2025 11:15;24,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 11:15;27.08.2025 11:30;24,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 11:30;27.08.2025 11:45;24,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 11:45;27.08.2025 12:00;24,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 12:00;27.08.2025 12:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 12:15;27.08.2025 12:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 12:30;27.08.2025 12:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 12:45;27.08.2025 13:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 13:00;27.08.2025 13:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 13:15;27.08.2025 13:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 13:30;27.08.2025 13:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 13:45;27.08.2025 14:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 14:00;27.08.2025 14:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 14:15;27.08.2025 14:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 14:30;27.08.2025 14:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 14:45;27.08.2025 15:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 15:00;27.08.2025 15:15;0,250;0,000;0,000;0,000;0,000;0,000
27.08.2025 15:15;27.08.2025 15:30;0,250;0,000;0,000;0,000;0,000;0,000
27.08.2025 15:30;27.08.2025 15:45;0,250;0,000;0,000;0,000;0,000;0,000
27.08.2025 15:45;27.08.2025 16:00;0,250;0,000;0,000;0,000;0,000;0,000
27.08.2025 16:00;27.08.2025 16:15;30,250;0,000;0,000;0,000;0,000;0,000
27.08.2025 16:15;27.08.2025 16:30;30,250;0,000;0,000;0,000;0,000;0,000
27.08.2025 16:30;27.08.2025 16:45;30,250;0,000;0,000;0,000;0,000;0,000
27.08.2025 16:45;27.08.2025 17:00;30,250;0,000;0,000;0,000;0,000;0,000
27.08.2025 17:00;27.08.2025 17:15;29,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 17:15;27.08.2025 17:30;29,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 17:30;27.08.2025 17:45;29,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 17:45;27.08.2025 18:00;29,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 18:00;27.08.2025 18:15;35,500;0,000;0,000;20,750;18,750;21,500
27.08.2025 18:15;27.08.2025 18:30;35,500;0,000;0,000;20,750;18,750;21,500
27.08.2025 18:30;27.08.2025 18:45;35,500;0,000;0,000;20,750;18,750;21,500
27.08.2025 18:45;27.08.2025 19:00;35,500;0,000;0,000;20,750;18,750;21,500
27.08.2025 19:00;27.08.2025 19:15;30,250;0,000;0,000;42,500;42,000;42,500
27.08.2025 19:15;27.08.2025 19:30;30,250;0,000;0,000;42,500;42,000;42,500
27.08.2025 19:30;27.08.2025 19:45;30,250;0,000;0,000;42,500;42,000;42,500
27.08.2025 19:45;27.08.2025 20:00;30,250;0,000;0,000;42,500;42,000;42,500
27.08.2025 20:00;27.08.2025 20:15;32,000;0,000;0,000;41,500;37,500;41,500
27.08.2025 20:15;27.08.2025 20:30;32,000;0,000;0,000;41,500;37,500;41,500
27.08.2025 20:30;27.08.2025 20:45;32,000;0,000;0,000;41,500;37,500;41,500
27.08.2025 20:45;27.08.2025 21:00;32,000;0,000;0,000;41,500;37,500;41,500
27.08.2025 21:00;27.08.2025 21:15;27,000;0,000;0,000;37,000;20,500;27,250
27.08.2025 21:15;27.08.2025 21:30;27,000;0,000;0,000;37,000;20,500;27,250
27.08.2025 21:30;27.08.2025 21:45;27,000;0,000;0,000;37,000;20,500;27,250
27.08.2025 21:45;27.08.2025 22:00;27,000;0,000;0,000;37,000;20,500;27,250
27.08.2025 22:00;27.08.2025 22:15;21,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 22:15;27.08.2025 22:30;21,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 22:30;27.08.2025 22:45;21,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 22:45;27.08.2025 23:00;21,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 23:00;27.08.2025 23:15;27,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 23:15;27.08.2025 23:30;27,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 23:30;27.08.2025 23:45;27,750;0,000;0,000;0,000;0,000;0,000
27.08.2025 23:45;28.08.2025 00:00;27,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 00:00;28.08.2025 00:15;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 00:15;28.08.2025 00:30;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 00:30;28.08.2025 00:45;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 00:45;28.08.2025 01:00;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 01:00;28.08.2025 01:15;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 01:15;28.08.2025 01:30;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 01:30;28.08.2025 01:45;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 01:45;28.08.2025 02:00;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 02:00;28.08.2025 02:15;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 02:15;28.08.2025 02:30;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 02:30;28.08.2025 02:45;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 02:45;28.08.2025 03:00;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 03:00;28.08.2025 03:15;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 03:15;28.08.2025 03:30;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 03:30;28.08.2025 03:45;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 03:45;28.08.2025 04:00;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 04:00;28.08.2025 04:15;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 04:15;28.08.2025 04:30;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 04:30;28.08.2025 04:45;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 04:45;28.08.2025 05:00;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 05:00;28.08.2025 05:15;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 05:15;28.08.2025 05:30;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 05:30;28.08.2025 05:45;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 05:45;28.08.2025 06:00;0,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 06:00;28.08.2025 06:15;15,750;0,000;0,000;13,500;0,000;6,250
28.08.2025 06:15;28.08.2025 06:30;15,750;0,000;0,000;13,500;0,000;6,250
28.08.2025 06:30;28.08.2025 06:45;15,750;0,000;0,000;13,500;0,000;6,250
28.08.2025 06:45;28.08.2025 07:00;15,750;0,000;0,000;13,500;0,000;6,250
28.08.2025 07:00;28.08.2025 07:15;24,750;0,000;0,000;39,500;35,250;42,000
28.08.2025 07:15;28.08.2025 07:30;24,750;0,000;0,000;39,500;35,250;42,000
28.08.2025 07:30;28.08.2025 07:45;24,750;0,000;0,000;39,500;35,250;42,000
28.08.2025 07:45;28.08.2025 08:00;24,750;0,000;0,000;39,500;35,250;42,000
28.08.2025 08:00;28.08.2025 08:15;36,500;0,000;0,000;39,500;16,250;36,500
28.08.2025 08:15;28.08.2025 08:30;36,500;0,000;0,000;39,500;16,250;36,500
28.08.2025 08:30;28.08.2025 08:45;36,500;0,000;0,000;39,500;16,250;36,500
28.08.2025 08:45;28.08.2025 09:00;36,500;0,000;0,000;39,500;16,250;36,500
28.08.2025 09:00;28.08.2025 09:15;30,000;0,000;0,000;8,750;0,000;0,000
28.08.2025 09:15;28.08.2025 09:30;30,000;0,000;0,000;8,750;0,000;0,000
28.08.2025 09:30;28.08.2025 09:45;30,000;0,000;0,000;8,750;0,000;0,000
28.08.2025 09:45;28.08.2025 10:00;30,000;0,000;0,000;8,750;0,000;0,000
28.08.2025 10:00;28.08.2025 10:15;26,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 10:15;28.08.2025 10:30;26,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 10:30;28.08.2025 10:45;26,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 10:45;28.08.2025 11:00;26,000;0,000;0,000;0,000;0,000;0,000
28.08.2025 11:00;28.08.2025 11:15;24,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 11:15;28.08.2025 11:30;24,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 11:30;28.08.2025 11:45;24,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 11:45;28.08.2025 12:00;24,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 12:00;28.08.2025 12:15;28,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 12:15;28.08.2025 12:30;28,750;0,000;0,000;0,000;0,000;0,000
28.08.2025 12:30;28.08.2025 12:45;28,750;0,000;0,000;0,000;0,000;0,000
